Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined
FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064,14,Food
FDO23,17.85,Low Fat,0.0,Breads,93.1436,OUT045,Small,Tier 2,Supermarket Type1,2174.5028,21,Food
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,2085.2856,26,Drinks
NCX29,10.0,Non-Edible,0.089291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652,24,Non-Consumable
FDV20,12.857645184136183,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916,38,Food
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044,14,Drinks
FDX10,12.857645184136183,Regular,0.123111453,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,388.1614,38,Food
FDB34,12.857645184136183,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,2180.495,38,Food
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,3435.528,26,Food
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,2150.534,36,Food
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768,24,Food
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,6768.5228,14,Food
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,373.5138,36,Food
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,Small,Tier 3,Grocery Store,358.2004,25,Food
NCP05,19.6,Non-Edible,0.0,Health and Hygiene,153.3024,OUT045,Small,Tier 2,Supermarket Type1,2428.8384,21,Non-Consumable
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,Small,Tier 2,Supermarket Type1,5815.0972,21,Food
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,2576.646,26,Food
FDS02,12.857645184136183,Regular,0.255394896,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,780.3176,38,Food
NCL17,7.39,Non-Edible,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,3134.5864,26,Non-Consumable
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,850.8924,36,Food
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,810.9444,36,Food
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,Small,Tier 2,Supermarket Type1,3121.2704,16,Food
NCP18,12.15,Non-Edible,0.028760013,Household,151.4708,OUT017,Small,Tier 2,Supermarket Type1,4815.0656,16,Non-Consumable
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,6258.52,14,Food
NCX54,9.195,Non-Edible,0.048157338,Household,106.1622,OUT045,Small,Tier 2,Supermarket Type1,2117.244,21,Non-Consumable
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,796.9626,24,Drinks
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,4910.275,26,Food
FDI26,12.857645184136183,Low Fat,0.061082177,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,892.172,38,Food
FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,3185.1872,14,Food
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,Small,Tier 2,Supermarket Type1,1062.6168,21,Food
FDF09,12.857645184136183,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,484.7024,38,Food
FDY40,12.857645184136183,Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,147.8076,38,Food
FDY45,12.857645184136183,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,2543.356,38,Food
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,Small,Tier 3,Grocery Store,184.4266,25,Food
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,4865.6664,19,Food
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,Small,Tier 2,Supermarket Type1,1118.544,21,Food
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,Small,Tier 2,Supermarket Type1,2302.3364,21,Drinks
NCI17,8.645,Non-Edible,0.143422643,Health and Hygiene,95.841,OUT046,Small,Tier 1,Supermarket Type1,2027.361,26,Non-Consumable
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,3435.528,26,Food
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,599.22,36,Food
FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,Small,Tier 2,Supermarket Type1,4604.6728,21,Food
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,Small,Tier 2,Supermarket Type1,2285.0256,16,Food
NCZ18,7.825,Non-Edible,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,5580.7356,24,Non-Consumable
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,2290.352,26,Food
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,1207.0954,24,Food
FDN48,12.857645184136183,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,643.1628,38,Food
FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,Small,Tier 2,Supermarket Type1,1587.933,16,Food
FDV25,5.905,Low Fat,0.0,Canned,222.5456,OUT045,Small,Tier 2,Supermarket Type1,5305.0944,21,Food
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,1697.79,26,Food
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,1427.4752,26,Food
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,4693.89,14,Food
NCL18,12.857645184136183,Non-Edible,0.293417759,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,583.2408,38,Non-Consumable
FDR12,12.857645184136183,Regular,0.031382044,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,3091.9752,38,Food
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,Small,Tier 2,Supermarket Type1,2479.4392,16,Food
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,Small,Tier 2,Supermarket Type1,2716.464,19,Food
FDQ49,12.857645184136183,Regular,0.039057677,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,3285.723,38,Food
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,661.8052,26,Food
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,1523.3504,24,Food
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,Small,Tier 3,Grocery Store,369.519,25,Food
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,690.4346,24,Drinks
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,Small,Tier 2,Supermarket Type1,1381.535,21,Drinks
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,622.523,19,Food
NCR17,9.8,Non-Edible,0.024378706,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,1274.3412,19,Non-Consumable
FDU04,12.857645184136183,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,487.3656,38,Food
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,1231.73,24,Food
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,3755.112,19,Food
NCP18,12.857645184136183,Non-Edible,0.028459761,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,4363.6532,38,Non-Consumable
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,1314.2892,26,Food
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,Small,Tier 2,Supermarket Type1,1805.6496,21,Food
FDD10,12.857645184136183,Regular,0.045797829,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,2854.9504,38,Food
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,3896.2616,24,Food
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,667.7974,36,Drinks
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,3185.853,14,Food
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,2247.7408,36,Food
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,1794.331,36,Food
FDG12,6.635,Regular,0.0,Baking Goods,121.3098,OUT045,Small,Tier 2,Supermarket Type1,2530.7058,21,Food
DRE60,12.857645184136183,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,679.116,38,Drinks
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,812.276,36,Drinks
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,699.09,26,Food
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,Small,Tier 2,Supermarket Type1,2732.4432,16,Food
FDW39,12.857645184136183,Regular,0.064625342,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,176.437,38,Food
FDX34,12.857645184136183,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,4097.3332,38,Food
FDV11,9.1,Regular,0.0,Breads,173.2054,OUT045,Small,Tier 2,Supermarket Type1,3151.8972,21,Food
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,5942.265,24,Food
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,Small,Tier 2,Supermarket Type1,4843.695,16,Food
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,2542.0244,19,Food
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,Small,Tier 2,Supermarket Type1,2552.6772,16,Drinks
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,1141.847,14,Food
NCF19,13.0,Non-Edible,0.035307322,Household,47.5034,OUT017,Small,Tier 2,Supermarket Type1,680.4476,16,Non-Consumable
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,Small,Tier 2,Supermarket Type1,2085.9514,21,Drinks
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,Small,Tier 3,Grocery Store,186.424,25,Food
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,3036.048,19,Food
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,Small,Tier 2,Supermarket Type1,866.8716,16,Food
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,868.869,19,Food
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,1137.1864,26,Drinks
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,Small,Tier 2,Supermarket Type1,928.1252,16,Food
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,762.341,36,Drinks
NCP30,20.5,Non-Edible,0.032835147,Household,40.2822,OUT045,Small,Tier 2,Supermarket Type1,707.0796,21,Non-Consumable
FDY25,12.857645184136183,Low Fat,0.033809913,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,7968.2944,38,Food
NCH54,13.5,Non-Edible,0.07266912,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,1438.128,26,Non-Consumable
NCR53,12.857645184136183,Non-Edible,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,6976.2524,38,Non-Consumable
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,Small,Tier 3,Grocery Store,101.2016,25,Food
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,952.094,14,Food
NCO26,7.235,Non-Edible,0.076855628,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,1969.4364,26,Non-Consumable
FDH35,12.857645184136183,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,5262.4832,38,Food
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,Small,Tier 2,Supermarket Type1,1314.2892,21,Food
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,Small,Tier 2,Supermarket Type1,535.3032,16,Food
NCN07,18.5,Non-Edible,0.056816465,Others,132.1284,OUT010,Small,Tier 3,Grocery Store,263.6568,25,Non-Consumable
NCC31,8.02,Non-Edible,0.019866705,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,1402.1748,19,Non-Consumable
NCX54,9.195,Non-Edible,0.048331717,Household,105.1622,OUT017,Small,Tier 2,Supermarket Type1,1693.7952,16,Non-Consumable
NCO55,12.8,Non-Edible,0.091221855,Others,105.5938,OUT045,Small,Tier 2,Supermarket Type1,2143.876,21,Non-Consumable
NCC30,16.6,Non-Edible,0.027622076,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,2676.516,24,Non-Consumable
FDI16,14.0,Regular,0.0,Frozen Foods,53.064,OUT035,Small,Tier 2,Supermarket Type1,905.488,19,Food
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,7370.406,24,Food
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,6301.1312,19,Food
NCB06,17.6,Non-Edible,0.082316506,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,1597.92,19,Non-Consumable
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,529.311,19,Food
NCO26,7.235,Non-Edible,0.076841095,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,1969.4364,19,Non-Consumable
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,Small,Tier 2,Supermarket Type1,1034.6532,16,Drinks
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,Medium,Tier 3,Supermarket Type2,1794.331,14,Food
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,2768.3964,14,Food
DRK12,12.857645184136183,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,898.83,38,Drinks
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,3169.208,26,Food
NCI18,18.35,Non-Edible,0.014081156,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,3589.9936,14,Non-Consumable
FDB36,5.465,Regular,0.0,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,262.3252,14,Food
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,Small,Tier 2,Supermarket Type1,1910.1802,16,Food
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,Small,Tier 2,Supermarket Type1,1701.7848,16,Drinks
FDQ28,14.0,Regular,0.060376776,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,2471.4496,36,Food
FDM22,14.0,Regular,0.04192285,Snack Foods,54.764,OUT013,High,Tier 3,Supermarket Type1,1331.6,36,Food
FDR07,12.857645184136183,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,1808.9786,38,Food
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,3315.684,14,Food
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,2618.5914,26,Drinks
FDW51,6.155,Regular,0.094659871,Meat,214.556,OUT046,Small,Tier 1,Supermarket Type1,2769.728,26,Food
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,Small,Tier 2,Supermarket Type1,5375.0034,16,Drinks
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,Small,Tier 2,Supermarket Type1,2838.9712,16,Food
FDL50,12.15,Regular,0.042485444,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,1743.0644,14,Food
NCB30,12.857645184136183,Non-Edible,0.025578526,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,5555.4352,38,Non-Consumable
FDW11,12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,619.194,14,Food
NCM43,14.5,Non-Edible,0.019471688,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,2120.573,19,Non-Consumable
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,Small,Tier 2,Supermarket Type1,3823.0236,16,Food
FDM15,11.8,Regular,0.057373797,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,1360.2294,36,Food
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,High,Tier 3,Supermarket Type1,3969.4996,36,Food
FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,Small,Tier 3,Grocery Store,345.5502,25,Food
FDR47,17.85,Low Fat,0.0,Breads,196.5794,OUT010,Small,Tier 3,Grocery Store,585.2382,25,Food
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,Small,Tier 2,Supermarket Type1,1010.6844,21,Food
NCU05,11.8,Non-Edible,0.098312421,Health and Hygiene,81.4618,OUT010,Small,Tier 3,Grocery Store,161.1236,25,Non-Consumable
DRY23,12.857645184136183,Regular,0.191013663,Soft Drinks,42.1112,OUT019,Small,Tier 1,Grocery Store,42.6112,38,Drinks
FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,Small,Tier 2,Supermarket Type1,3010.7476,21,Food
FDQ28,12.857645184136183,Regular,0.060134441,Frozen Foods,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,6024.1584,38,Food
FDV39,11.3,Low Fat,0.007294652,Meat,198.1426,OUT045,Small,Tier 2,Supermarket Type1,988.713,21,Food
NCO17,12.857645184136183,Non-Edible,0.128478462,Health and Hygiene,117.944,OUT019,Small,Tier 1,Grocery Store,239.688,38,Non-Consumable
FDU50,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,High,Tier 3,Supermarket Type1,1374.2112,36,Food
FDT12,12.857645184136183,Regular,0.049381406,Baking Goods,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,4739.8302,38,Food
FDK58,11.35,Regular,0.045165796,Snack Foods,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,1012.016,14,Food
FDO08,12.857645184136183,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,Small,Tier 1,Grocery Store,657.8104,38,Food
NCW29,14.0,Non-Edible,0.028907832,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,778.986,24,Non-Consumable
FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,Small,Tier 2,Supermarket Type1,2336.958,21,Food
NCB19,6.525,Non-Edible,0.090436094,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,2233.0932,24,Non-Consumable
FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,1661.8368,24,Food
FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,4745.8224,24,Food
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,Small,Tier 2,Supermarket Type1,3124.5994,21,Food
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,467.3916,14,Food
NCX06,12.857645184136183,Non-Edible,0.01561108,Household,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,5070.7328,38,Non-Consumable
FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,Small,Tier 1,Supermarket Type1,540.6296,26,Food
FDB41,19.0,Regular,0.097313129,Frozen Foods,48.0718,OUT046,Small,Tier 1,Supermarket Type1,992.7078,26,Food
NCN55,14.6,Non-Edible,0.059582996,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,6008.845,24,Non-Consumable
FDE40,12.857645184136183,Regular,0.098663652,Dairy,62.9194,OUT027,Medium,Tier 3,Supermarket Type3,2105.2596,38,Food
FDX49,12.857645184136183,Regular,0.101338651,Canned,232.63,OUT027,Medium,Tier 3,Supermarket Type3,5359.69,38,Food
NCM53,18.75,Non-Edible,0.052146456,Health and Hygiene,104.628,OUT045,Small,Tier 2,Supermarket Type1,745.696,21,Non-Consumable
FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,Small,Tier 2,Supermarket Type1,3275.736,19,Food
FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.2154,OUT045,Small,Tier 2,Supermarket Type1,1701.7848,21,Food
FDI24,12.857645184136183,Low Fat,0.078362484,Baking Goods,177.937,OUT027,Medium,Tier 3,Supermarket Type3,6704.606,38,Food
FDI19,15.1,Low Fat,0.052339069,Meat,242.7512,OUT046,Small,Tier 1,Supermarket Type1,4119.9704,26,Food
